table_name,column_name,is_nullable,data_type,is_partitioning_column
transactions,hash,NO,STRING,NO
transactions,nonce,NO,INT64,NO
transactions,transaction_index,NO,INT64,NO
transactions,from_address,NO,STRING,NO
transactions,to_address,YES,STRING,NO
transactions,value,YES,NUMERIC,NO
transactions,gas,YES,INT64,NO
transactions,gas_price,YES,INT64,NO
transactions,input,YES,STRING,NO
transactions,receipt_cumulative_gas_used,YES,INT64,NO
transactions,receipt_gas_used,YES,INT64,NO
transactions,receipt_contract_address,YES,STRING,NO
transactions,receipt_root,YES,STRING,NO
transactions,receipt_status,YES,INT64,NO
transactions,block_timestamp,NO,TIMESTAMP,YES
transactions,block_number,NO,INT64,NO
transactions,block_hash,NO,STRING,NO